name;year;km_driven;fuel;seller_type;transmission;owner
13.47040031123373;13.441691066376704;50000;13.092263510257583;12.618326166888265;13.774155388408083;12.978599084805483
12.116109848241283;11.911987172027263;70000;12.456498954101184;12.621477707257112;13.775451570813537;12.976605625058678
12.3045998729021;13.337660182351565;50000;12.458604701570296;12.622749618815336;12.638980466029908;12.974791939048481
12.48461658652422;13.06228677621475;92198;12.45707580264847;13.151827173833999;12.639706838035158;12.461235622099817
12.397658706799092;12.863156883618148;3240;12.453887989068098;12.620366445833232;12.64351196642093;12.465822584819728
12.695679893380252;13.443176546955888;10000;12.457298293257718;13.149510348441694;12.638882601478006;12.978516088941706
11.697428677543703;11.50732459528954;90000;12.454752954383407;12.620434184710076;12.638362306394505;11.871357304677812
11.124292613769168;11.509006660710277;79000;12.453460919030864;12.623999846271667;12.638661294519869;12.464521134357042
13.17352264104159;13.342362802263123;99700;13.094182579605587;12.623106886711923;12.639600677547218;12.977447200617394
13.003190486338996;12.249247289377806;124000;13.090453698809624;12.620363226553671;12.642891239124696;12.4629446065699
